date,sp_breadth,sp_new_low,sp_breadth_200,gl_breadth,gl_new_low
2008-01-01,,,,0.0,0.0
2008-01-02,0.0,0.0,0.0,0.0,0.0
2008-01-03,0.0,0.0,0.0,0.0,0.0
2008-01-04,0.0,0.0,0.0,0.0,0.0
2008-01-07,0.0,0.0,0.0,0.0,0.0
2008-01-08,0.0,0.0,0.0,0.0,0.0
2008-01-09,0.0,0.0,0.0,0.0,0.0
2008-01-10,0.0,0.0,0.0,0.0,0.0
2008-01-11,0.0,0.0,0.0,0.0,0.0
2008-01-14,0.0,0.0,0.0,0.0,0.0
2008-01-15,17.495029821073558,34.59244532803181,0.0,3.8461538461538463,61.53846153846154
2008-01-16,21.669980119284293,23.45924453280318,0.0,3.8461538461538463,69.23076923076923
2008-01-17,11.332007952286283,45.32803180914513,0.0,0.0,57.692307692307686
2008-01-18,9.74155069582505,35.586481113320076,0.0,3.8461538461538463,53.84615384615385
2008-01-21,,,,0.0,69.23076923076923
2008-01-22,12.72365805168986,36.58051689860835,0.0,0.0,38.46153846153847
2008-01-23,25.04970178926441,14.115308151093439,0.0,0.0,30.76923076923077
2008-01-24,29.22465208747515,9.940357852882704,0.0,0.0,0.0
2008-01-25,24.254473161033797,15.705765407554672,0.0,0.0,0.0
2008-01-28,33.99602385685885,3.5785288270377733,0.0,0.0,0.0
2008-01-29,38.17097415506958,3.180914512922465,0.0,0.0,0.0
2008-01-30,33.79721669980119,6.560636182902585,0.0,3.8461538461538463,3.8461538461538463
2008-01-31,41.94831013916501,2.783300198807157,0.0,0.0,0.0
2008-02-01,53.87673956262425,1.1928429423459244,0.0,11.538461538461538,0.0
2008-02-04,50.09940357852882,0.7952286282306162,0.0,11.538461538461538,0.0
2008-02-05,31.610337972166995,8.34990059642147,0.0,3.8461538461538463,0.0
2008-02-06,28.230616302186878,9.940357852882704,0.0,0.0,0.0
2008-02-07,32.60437375745527,6.560636182902585,0.0,0.0,0.0
2008-02-08,30.218687872763418,8.548707753479125,0.0,0.0,0.0
2008-02-11,33.39960238568588,7.157057654075547,0.0,3.8461538461538463,11.538461538461538
2008-02-12,38.36978131212724,4.572564612326044,0.0,3.8461538461538463,7.6923076923076925
2008-02-13,45.12922465208747,2.3856858846918487,0.0,7.6923076923076925,0.0
2008-02-14,36.779324055666,6.163021868787276,0.0,11.538461538461538,0.0
2008-02-15,38.17097415506958,4.3737574552683895,0.0,11.538461538461538,0.0
2008-02-18,,,,11.538461538461538,0.0
2008-02-19,37.17693836978131,5.964214711729622,0.0,19.230769230769234,0.0
2008-02-20,42.74353876739563,2.584493041749503,0.0,11.538461538461538,0.0
2008-02-21,35.188866799204774,6.759443339960239,0.0,15.384615384615385,0.0
2008-02-22,40.55666003976143,3.180914512922465,0.0,11.538461538461538,0.0
2008-02-25,48.111332007952285,1.1928429423459244,0.0,26.923076923076923,0.0
2008-02-26,50.89463220675944,1.3916500994035785,0.0,34.61538461538461,0.0
2008-02-27,49.50298210735586,1.5904572564612325,0.0,42.30769230769231,0.0
2008-02-28,42.54473161033797,3.180914512922465,0.0,15.384615384615385,0.0
2008-02-29,28.031809145129227,13.717693836978132,0.0,11.538461538461538,0.0
2008-03-03,28.628230616302186,8.747514910536779,0.0,11.538461538461538,0.0
2008-03-04,27.833001988071572,7.952286282306163,0.0,11.538461538461538,11.538461538461538
2008-03-05,31.01391650099404,4.7713717693836974,0.0,11.538461538461538,0.0
2008-03-06,19.681908548707753,20.47713717693837,0.0,11.538461538461538,7.6923076923076925
2008-03-07,17.09741550695825,13.916500994035786,0.0,7.6923076923076925,30.76923076923077
2008-03-10,11.928429423459244,25.844930417495032,0.0,3.8461538461538463,34.61538461538461
2008-03-11,26.838966202783297,2.982107355864811,0.0,11.538461538461538,3.8461538461538463
2008-03-12,24.652087475149106,4.970178926441352,0.0,11.538461538461538,0.0
2008-03-13,27.435387673956264,3.7773359840954273,27.435387673956264,11.538461538461538,15.384615384615385
2008-03-14,20.47713717693837,11.332007952286283,20.278330019880716,7.6923076923076925,7.6923076923076925
2008-03-17,18.09145129224652,16.898608349900595,17.693836978131213,0.0,53.84615384615385
2008-03-18,33.39960238568588,1.1928429423459244,31.809145129224653,7.6923076923076925,3.8461538461538463
2008-03-19,26.043737574552683,4.7713717693836974,25.04970178926441,3.8461538461538463,0.0
2008-03-20,35.785288270377734,3.3797216699801194,34.39363817097416,3.8461538461538463,3.8461538461538463
2008-03-21,,,,3.8461538461538463,0.0
2008-03-24,43.33996023856859,1.5904572564612325,41.15308151093439,3.8461538461538463,0.0
2008-03-25,46.91848906560636,1.5904572564612325,44.135188866799204,19.230769230769234,0.0
2008-03-26,44.333996023856855,0.9940357852882704,41.35188866799205,15.384615384615385,0.0
2008-03-27,39.363817097415506,1.7892644135188867,36.18290258449304,15.384615384615385,0.0
2008-03-28,32.80318091451292,3.180914512922465,31.01391650099404,15.384615384615385,0.0
2008-03-31,38.36978131212724,0.9940357852882704,36.18290258449304,15.384615384615385,0.0
2008-04-01,56.85884691848907,0.19880715705765406,52.087475149105366,46.15384615384615,0.0
2008-04-02,58.25049701789264,0.19880715705765406,53.08151093439364,57.692307692307686,0.0
2008-04-03,58.8469184890656,0.3976143141153081,52.48508946322068,61.53846153846154,0.0
2008-04-04,59.04572564612326,0.3976143141153081,54.07554671968191,53.84615384615385,0.0
2008-04-07,59.443339960238575,0.5964214711729622,53.28031809145129,69.23076923076923,0.0
2008-04-08,55.26838966202783,0.7952286282306162,51.29224652087475,69.23076923076923,0.0
2008-04-09,49.50298210735586,1.1928429423459244,47.713717693836976,53.84615384615385,0.0
2008-04-10,53.677932405566594,1.7892644135188867,49.30417495029821,53.84615384615385,0.0
2008-04-11,43.93638170974155,3.180914512922465,39.761431411530815,50.0,0.0
2008-04-14,41.35188866799205,2.982107355864811,36.97813121272366,34.61538461538461,0.0
2008-04-15,44.731610337972164,2.982107355864811,40.95427435387674,38.46153846153847,0.0
2008-04-16,56.85884691848907,0.7952286282306162,52.88270377733598,57.692307692307686,0.0
2008-04-17,56.461232604373755,1.3916500994035785,50.89463220675944,61.53846153846154,0.0
2008-04-18,62.62425447316103,0.5964214711729622,58.4493041749503,65.38461538461539,0.0
2008-04-21,61.0337972166998,0.9940357852882704,56.063618290258454,73.07692307692307,0.0
2008-04-22,54.27435387673957,2.1868787276341948,51.29224652087475,73.07692307692307,0.0
2008-04-23,56.85884691848907,1.3916500994035785,53.28031809145129,73.07692307692307,0.0
2008-04-24,59.04572564612326,1.5904572564612325,56.66003976143141,76.92307692307693,0.0
2008-04-25,62.42544731610338,0.5964214711729622,57.25646123260437,73.07692307692307,0.0
2008-04-28,64.61232604373758,0.3976143141153081,57.65407554671968,76.92307692307693,0.0
2008-04-29,63.02186878727635,1.3916500994035785,57.45526838966203,73.07692307692307,0.0
2008-04-30,61.63021868787276,2.1868787276341948,56.063618290258454,76.92307692307693,0.0
2008-05-01,66.99801192842942,0.19880715705765406,62.02783300198808,19.230769230769234,0.0
2008-05-02,66.6003976143141,0.5964214711729622,63.22067594433399,76.92307692307693,0.0
2008-05-05,65.8051689860835,1.1928429423459244,61.0337972166998,65.38461538461539,0.0
2008-05-06,66.99801192842942,0.19880715705765406,62.62425447316103,73.07692307692307,0.0
2008-05-07,61.82902584493042,1.3916500994035785,55.864811133200796,76.92307692307693,0.0
2008-05-08,61.431411530815105,1.5904572564612325,56.2624254473161,76.92307692307693,0.0
2008-05-09,59.04572564612326,1.9880715705765408,55.069582504970185,76.92307692307693,0.0
2008-05-12,64.81113320079523,0.5964214711729622,61.82902584493042,61.53846153846154,0.0
2008-05-13,64.01590457256461,0.9940357852882704,60.63618290258449,76.92307692307693,0.0
2008-05-14,65.4075546719682,0.5964214711729622,61.63021868787276,76.92307692307693,0.0
2008-05-15,67.39562624254472,0.5964214711729622,62.62425447316103,76.92307692307693,0.0
2008-05-16,66.40159045725646,0.3976143141153081,62.62425447316103,76.92307692307693,0.0
2008-05-19,65.8051689860835,0.5964214711729622,62.42544731610338,61.53846153846154,0.0
2008-05-20,61.82902584493042,1.3916500994035785,60.039761431411534,76.92307692307693,0.0
2008-05-21,53.677932405566594,3.180914512922465,54.67196819085487,69.23076923076923,0.0
2008-05-22,53.47912524850894,0.9940357852882704,57.057654075546715,69.23076923076923,0.0
2008-05-23,47.713717693836976,2.584493041749503,50.09940357852882,65.38461538461539,0.0
2008-05-26,,,,38.46153846153847,0.0
2008-05-27,51.491053677932406,1.7892644135188867,53.87673956262425,53.84615384615385,0.0
2008-05-28,52.88270377733598,2.1868787276341948,56.2624254473161,61.53846153846154,0.0
2008-05-29,56.461232604373755,0.7952286282306162,60.039761431411534,53.84615384615385,0.0
2008-05-30,55.46719681908549,1.3916500994035785,59.84095427435388,61.53846153846154,0.0
2008-06-02,48.111332007952285,3.180914512922465,54.87077534791253,50.0,0.0
2008-06-03,46.91848906560636,3.7773359840954273,52.88270377733598,50.0,0.0
2008-06-04,49.10536779324055,2.982107355864811,54.47316103379721,42.30769230769231,0.0
2008-06-05,57.45526838966203,0.9940357852882704,57.85288270377733,38.46153846153847,0.0
2008-06-06,40.55666003976143,6.759443339960239,48.508946322067594,23.076923076923077,0.0
2008-06-09,39.761431411530815,6.759443339960239,47.514910536779325,19.230769230769234,3.8461538461538463
2008-06-10,39.165009940357855,3.7773359840954273,47.514910536779325,11.538461538461538,3.8461538461538463
2008-06-11,30.417495029821072,12.922465208747516,40.15904572564612,7.6923076923076925,7.6923076923076925
2008-06-12,32.60437375745527,5.36779324055666,43.33996023856859,11.538461538461538,0.0
2008-06-13,40.15904572564612,1.9880715705765408,48.70775347912525,11.538461538461538,0.0
2008-06-16,39.761431411530815,2.3856858846918487,48.9065606361829,7.6923076923076925,0.0
2008-06-17,34.39363817097416,6.560636182902585,44.731610337972164,11.538461538461538,0.0
2008-06-18,32.007952286282304,12.326043737574553,40.95427435387674,7.6923076923076925,15.384615384615385
2008-06-19,34.39363817097416,4.7713717693836974,44.731610337972164,7.6923076923076925,19.230769230769234
2008-06-20,25.646123260437374,12.326043737574553,38.767395626242546,7.6923076923076925,46.15384615384615
2008-06-23,24.055666003976143,18.09145129224652,36.58051689860835,7.6923076923076925,34.61538461538461
2008-06-24,19.4831013916501,11.72962226640159,36.18290258449304,3.8461538461538463,46.15384615384615
2008-06-25,23.658051689860834,4.3737574552683895,37.57455268389662,3.8461538461538463,3.8461538461538463
2008-06-26,13.320079522862823,27.435387673956264,27.634194831013914,0.0,42.30769230769231
2008-06-27,12.524850894632205,26.24254473161034,27.435387673956264,0.0,57.692307692307686
2008-06-30,12.922465208747516,21.272365805168985,28.031809145129227,0.0,34.61538461538461
2008-07-01,12.127236580516898,14.314115308151093,29.4234592445328,0.0,57.692307692307686
2008-07-02,10.73558648111332,27.833001988071572,25.24850894632207,0.0,53.84615384615385
2008-07-03,8.946322067594433,18.290258449304176,24.85089463220676,0.0,19.230769230769234
2008-07-04,,,,0.0,38.46153846153847
2008-07-07,6.759443339960239,23.061630218687874,23.061630218687874,0.0,7.6923076923076925
2008-07-08,11.530815109343937,3.3797216699801194,28.429423459244536,0.0,30.76923076923077
2008-07-09,11.332007952286283,17.693836978131213,24.652087475149106,0.0,15.384615384615385
2008-07-10,10.934393638170974,12.524850894632205,26.44135188866799,0.0,19.230769230769234
2008-07-11,9.74155069582505,20.675944333996025,25.04970178926441,0.0,38.46153846153847
2008-07-14,9.145129224652088,25.04970178926441,22.266401590457257,0.0,11.538461538461538
2008-07-15,9.145129224652088,22.86282306163022,21.47117296222664,0.0,73.07692307692307
2008-07-16,13.518886679920477,5.964214711729622,24.652087475149106,0.0,19.230769230769234
2008-07-17,20.87475149105368,6.759443339960239,28.230616302186878,0.0,0.0
2008-07-18,19.880715705765407,4.572564612326044,28.429423459244536,0.0,0.0
2008-07-21,19.08548707753479,2.584493041749503,28.230616302186878,0.0,0.0
2008-07-22,27.435387673956264,2.783300198807157,31.809145129224653,0.0,0.0
2008-07-23,32.20675944333996,4.970178926441352,33.00198807157058,0.0,0.0
2008-07-24,23.45924453280318,11.133200795228628,28.628230616302186,0.0,7.6923076923076925
2008-07-25,25.646123260437374,5.7654075546719685,28.628230616302186,0.0,3.8461538461538463
2008-07-28,19.284294234592444,8.34990059642147,25.646123260437374,0.0,3.8461538461538463
2008-07-29,31.01391650099404,1.7892644135188867,30.417495029821072,0.0,0.0
2008-07-30,33.59840954274354,3.180914512922465,33.20079522862823,0.0,0.0
2008-07-31,32.40556660039761,5.168986083499006,31.411530815109344,0.0,0.0
2008-08-01,30.417495029821072,9.343936381709742,28.628230616302186,0.0,0.0
2008-08-04,30.81510934393638,12.72365805168986,28.031809145129227,0.0,3.8461538461538463
2008-08-05,41.94831013916501,2.982107355864811,36.381709741550694,11.538461538461538,0.0
2008-08-06,45.52683896620278,1.5904572564612325,36.779324055666,11.538461538461538,0.0
2008-08-07,37.37574552683897,3.9761431411530817,33.59840954274354,11.538461538461538,0.0
2008-08-08,48.9065606361829,2.3856858846918487,40.95427435387674,11.538461538461538,3.8461538461538463
2008-08-11,53.08151093439364,2.783300198807157,43.737574552683895,15.384615384615385,7.6923076923076925
2008-08-12,50.09940357852882,2.783300198807157,40.55666003976143,11.538461538461538,7.6923076923076925
2008-08-13,49.10536779324055,0.5964214711729622,39.562624254473164,11.538461538461538,0.0
2008-08-14,52.683896620278325,1.1928429423459244,42.74353876739563,11.538461538461538,0.0
2008-08-15,55.666003976143145,1.5904572564612325,45.72564612326044,3.8461538461538463,15.384615384615385
2008-08-18,51.29224652087475,2.783300198807157,40.15904572564612,11.538461538461538,11.538461538461538
2008-08-19,45.92445328031809,2.783300198807157,36.18290258449304,7.6923076923076925,11.538461538461538
2008-08-20,47.514910536779325,2.1868787276341948,38.56858846918489,11.538461538461538,0.0
2008-08-21,46.3220675944334,2.584493041749503,38.17097415506958,0.0,11.538461538461538
2008-08-22,52.88270377733598,0.5964214711729622,42.94234592445328,3.8461538461538463,7.6923076923076925
2008-08-25,44.731610337972164,3.3797216699801194,35.785288270377734,7.6923076923076925,0.0
2008-08-26,47.31610337972167,2.3856858846918487,36.779324055666,11.538461538461538,7.6923076923076925
2008-08-27,51.29224652087475,0.9940357852882704,39.165009940357855,7.6923076923076925,3.8461538461538463
2008-08-28,59.04572564612326,0.3976143141153081,45.32803180914513,15.384615384615385,7.6923076923076925
2008-08-29,53.28031809145129,0.5964214711729622,41.5506958250497,26.923076923076923,0.0
2008-09-01,,,,30.76923076923077,3.8461538461538463
2008-09-02,53.08151093439364,3.180914512922465,41.74950298210736,46.15384615384615,11.538461538461538
2008-09-03,50.49701789264414,5.36779324055666,39.960238568588466,34.61538461538461,3.8461538461538463
2008-09-04,39.761431411530815,14.314115308151093,33.00198807157058,11.538461538461538,23.076923076923077
2008-09-05,39.363817097415506,8.151093439363818,31.610337972166995,7.6923076923076925,23.076923076923077
2008-09-08,49.10536779324055,6.560636182902585,38.56858846918489,19.230769230769234,7.6923076923076925
2008-09-09,39.761431411530815,19.4831013916501,31.610337972166995,15.384615384615385,7.6923076923076925
2008-09-10,39.960238568588466,4.7713717693836974,31.610337972166995,11.538461538461538,0.0
2008-09-11,43.538767395626245,2.3856858846918487,34.791252485089466,11.538461538461538,23.076923076923077
2008-09-12,43.93638170974155,3.9761431411530817,36.18290258449304,7.6923076923076925,3.8461538461538463
2008-09-15,30.218687872763418,13.717693836978132,28.429423459244536,0.0,23.076923076923077
2008-09-16,36.58051689860835,7.157057654075547,32.20675944333996,0.0,42.30769230769231
2008-09-17,21.669980119284293,20.87475149105368,22.46520874751491,0.0,53.84615384615385
2008-09-18,34.990059642147116,3.7773359840954273,32.40556660039761,0.0,46.15384615384615
2008-09-19,41.15308151093439,0.19880715705765406,40.75546719681908,7.6923076923076925,0.0
2008-09-22,26.640159045725646,3.180914512922465,26.838966202783297,3.8461538461538463,0.0
2008-09-23,24.652087475149106,6.759443339960239,24.45328031809145,0.0,0.0
2008-09-24,21.272365805168985,7.5546719681908545,24.652087475149106,3.8461538461538463,0.0
2008-09-25,26.24254473161034,3.9761431411530817,28.230616302186878,0.0,0.0
2008-09-26,28.230616302186878,6.163021868787276,29.82107355864811,0.0,3.8461538461538463
2008-09-29,11.332007952286283,31.809145129224653,17.892644135188867,0.0,34.61538461538461
2008-09-30,18.09145129224652,2.783300198807157,22.86282306163022,0.0,15.384615384615385
2008-10-01,17.296222664015904,6.958250497017893,21.47117296222664,0.0,3.8461538461538463
2008-10-02,12.524850894632205,33.39960238568588,16.302186878727635,0.0,15.384615384615385
2008-10-03,8.151093439363818,31.809145129224653,14.115308151093439,0.0,23.076923076923077
2008-10-06,4.970178926441352,47.514910536779325,8.34990059642147,0.0,73.07692307692307
2008-10-07,1.7892644135188867,58.8469184890656,5.36779324055666,0.0,38.46153846153847
2008-10-08,0.7952286282306162,40.75546719681908,4.3737574552683895,0.0,73.07692307692307
2008-10-09,0.19880715705765406,67.19681908548708,0.7952286282306162,0.0,57.692307692307686
2008-10-10,0.7952286282306162,42.74353876739563,2.1868787276341948,0.0,73.07692307692307
2008-10-13,1.3916500994035785,0.3976143141153081,6.36182902584493,0.0,3.8461538461538463
2008-10-14,2.1868787276341948,2.3856858846918487,4.572564612326044,0.0,0.0
2008-10-15,0.9940357852882704,34.59244532803181,1.1928429423459244,0.0,3.8461538461538463
2008-10-16,1.7892644135188867,4.572564612326044,3.180914512922465,0.0,19.230769230769234
2008-10-17,1.7892644135188867,7.3558648111332,2.783300198807157,0.0,23.076923076923077
2008-10-20,2.584493041749503,1.7892644135188867,3.9761431411530817,0.0,3.8461538461538463
2008-10-21,1.9880715705765408,9.145129224652088,3.3797216699801194,0.0,0.0
2008-10-22,0.7952286282306162,31.610337972166995,2.783300198807157,0.0,30.76923076923077
2008-10-23,0.5964214711729622,30.218687872763418,2.3856858846918487,0.0,34.61538461538461
2008-10-24,0.5964214711729622,43.538767395626245,1.5904572564612325,0.0,61.53846153846154
2008-10-27,0.3976143141153081,51.88866799204771,1.3916500994035785,0.0,61.53846153846154
2008-10-28,2.982107355864811,3.180914512922465,3.180914512922465,0.0,11.538461538461538
2008-10-29,2.982107355864811,2.584493041749503,3.180914512922465,0.0,0.0
2008-10-30,4.970178926441352,2.3856858846918487,5.168986083499006,0.0,0.0
2008-10-31,7.3558648111332,1.1928429423459244,6.36182902584493,0.0,0.0
2008-11-03,6.958250497017893,0.5964214711729622,5.7654075546719685,0.0,0.0
2008-11-04,11.530815109343937,0.19880715705765406,7.952286282306163,0.0,0.0
2008-11-05,4.174950298210735,2.3856858846918487,3.9761431411530817,0.0,0.0
2008-11-06,2.1868787276341948,8.548707753479125,3.3797216699801194,0.0,0.0
2008-11-07,3.9761431411530817,2.584493041749503,3.9761431411530817,0.0,0.0
2008-11-10,3.180914512922465,8.747514910536779,3.3797216699801194,0.0,0.0
2008-11-11,2.584493041749503,14.512922465208748,1.9880715705765408,0.0,0.0
2008-11-12,0.9940357852882704,30.019880715705767,1.7892644135188867,0.0,0.0
2008-11-13,8.151093439363818,2.783300198807157,3.9761431411530817,0.0,3.8461538461538463
2008-11-14,3.9761431411530817,14.512922465208748,2.1868787276341948,0.0,0.0
2008-11-17,2.783300198807157,24.055666003976143,2.3856858846918487,0.0,3.8461538461538463
2008-11-18,3.9761431411530817,19.4831013916501,2.1868787276341948,0.0,7.6923076923076925
2008-11-19,1.1928429423459244,44.333996023856855,1.5904572564612325,0.0,19.230769230769234
2008-11-20,0.3976143141153081,55.864811133200796,0.5964214711729622,0.0,38.46153846153847
2008-11-21,2.3856858846918487,6.958250497017893,1.5904572564612325,0.0,30.76923076923077
2008-11-24,8.34990059642147,0.9940357852882704,2.584493041749503,0.0,0.0
2008-11-25,9.542743538767395,0.9940357852882704,1.9880715705765408,0.0,0.0
2008-11-26,14.512922465208748,0.19880715705765406,3.3797216699801194,0.0,0.0
2008-11-27,,,,0.0,0.0
2008-11-28,18.687872763419485,0.0,3.9761431411530817,0.0,0.0
2008-12-01,3.7773359840954273,4.572564612326044,1.1928429423459244,0.0,0.0
2008-12-02,9.343936381709742,0.3976143141153081,1.7892644135188867,0.0,0.0
2008-12-03,15.109343936381709,0.19880715705765406,2.982107355864811,3.8461538461538463,0.0
2008-12-04,9.343936381709742,1.5904572564612325,2.3856858846918487,3.8461538461538463,0.0
2008-12-05,19.681908548707753,0.9940357852882704,3.9761431411530817,0.0,3.8461538461538463
2008-12-08,30.81510934393638,0.0,4.572564612326044,7.6923076923076925,0.0
2008-12-09,24.254473161033797,1.3916500994035785,2.783300198807157,7.6923076923076925,0.0
2008-12-10,31.21272365805169,0.9940357852882704,3.3797216699801194,11.538461538461538,0.0
2008-12-11,21.47117296222664,1.3916500994035785,2.1868787276341948,11.538461538461538,0.0
2008-12-12,28.628230616302186,1.1928429423459244,2.982107355864811,7.6923076923076925,0.0
2008-12-15,24.055666003976143,1.9880715705765408,2.783300198807157,7.6923076923076925,0.0
2008-12-16,46.91848906560636,0.3976143141153081,5.36779324055666,15.384615384615385,0.0
2008-12-17,47.11729622266402,0.3976143141153081,4.7713717693836974,19.230769230769234,0.0
2008-12-18,43.33996023856859,0.3976143141153081,4.3737574552683895,26.923076923076923,0.0
