Date,Open,High,Low,Close
2000-05-26,32.53415167828741,32.668128967285156,32.37784484112336,32.668128967285156
2000-05-30,33.13705663611878,33.873931884765625,33.13705663611878,33.873931884765625
2000-05-31,33.98558509964465,34.43217623104603,33.98558509964465,33.99674987792969
2000-06-01,34.694564527782326,34.76713562011719,34.694564527782326,34.76713562011719
2000-06-02,36.341352951832306,36.57581329345703,36.341352951832306,36.57581329345703
2000-06-05,36.486507883258895,36.843780910267554,36.39718962650673,36.44184875488281
2000-06-06,37.016823596167335,37.446667573984385,36.68746262615167,36.799110412597656
2000-06-07,36.57582196322355,36.84377670288086,36.2408785386519,36.84377670288086
2000-06-08,37.24569042108473,37.24569042108473,36.75444030761719,36.75444030761719
2000-06-09,37.111720029916334,37.40200424194336,37.08939047514503,37.40200424194336
2000-06-12,37.513642357305606,37.513642357305606,36.26318761206208,36.291099548339844
2000-06-13,36.2017839299662,36.75444030761719,35.861258283130745,36.75444030761719
2000-06-14,37.05589875487909,37.05589875487909,36.57581329345703,36.57581329345703
2000-06-15,36.352521068293875,36.62047576904297,36.00083052356069,36.62047576904297
2000-06-16,36.77679437979973,36.79912394530052,36.41952133178711,36.41952133178711
2000-06-19,36.62046861420408,37.33501434326172,36.4529969589562,37.33501434326172
2000-06-20,37.390833883574516,37.63645894939675,37.24569179922502,37.58063507080078
2000-06-21,37.26696123137832,37.847861106687574,37.26696123137832,37.78083419799805
2000-06-22,37.89253361399581,37.89253361399581,36.64136505126953,36.64136505126953
2000-06-23,36.99886848913372,36.99886848913372,36.10517601355078,36.395626068115234
2000-06-26,36.54084330085121,36.842464447021484,36.37327599742327,36.842464447021484
2000-06-27,36.898314181625736,37.222277581948816,36.261558532714844,36.261558532714844
2000-06-28,36.417962381472954,37.311654709852654,36.417962381472954,37.1776008605957
2000-06-29,36.99886028583233,37.06588720664,36.48498722630688,36.59669876098633
2000-06-30,36.619062988558056,36.948612213134766,36.3174416643692,36.948612213134766
2000-07-03,36.86477954571063,37.468021392822266,36.82009496444311,37.468021392822266
2000-07-05,37.25580819409489,37.26697935097467,36.91508790926134,37.043556213378906
2000-07-06,37.054691095252686,37.47919464111328,36.70838557099798,37.47919464111328
2000-07-07,37.484801346091864,37.8590349461795,37.484801346091864,37.713809967041016
2000-07-10,37.69146799690377,38.093629481162374,37.69146799690377,37.95957565307617
2000-07-11,37.8925441726208,38.10479604151225,37.78083266267793,37.914886474609375
2000-07-12,38.11597240322384,38.674530029296875,38.071287793138,38.674530029296875
2000-07-13,38.708047457672215,38.79741668701172,38.60750707466527,38.79741668701172
2000-07-14,38.99848077706007,38.99848077706007,38.51812137476457,38.83091354370117
2000-07-17,38.86444070361076,39.03200799609543,38.76390032811996,38.96498107910156
2000-07-18,38.70803315553253,38.70803315553253,38.294700622558594,38.294700622558594
2000-07-19,38.17182954756495,38.17182954756495,37.62444305419922,37.62444305419922
2000-07-20,37.98190388724069,38.2500114440918,37.98190388724069,38.2500114440918
2000-07-21,38.026593356662325,38.026593356662325,37.199928283691406,37.199928283691406
2000-07-24,37.4010316196891,37.4010316196891,36.57995162445399,36.65814971923828
2000-07-25,36.94857700897829,36.94857700897829,36.50731660327772,36.73073959350586
2000-07-26,36.46262327539419,36.66370391845703,36.08280428294217,36.66370391845703
2000-07-27,36.59109702444913,36.59109702444913,35.65830612182617,35.65830612182617
2000-07-28,35.86497305485667,35.86497305485667,34.94335328316202,35.03272247314453
2000-07-31,35.2114572287792,35.92641067504883,34.809295915252534,35.92641067504883
2000-08-01,35.65831622629658,35.79237004669619,35.49074895079706,35.691829681396484
2000-08-02,35.47956927299499,35.94875753164291,35.39020008087158,35.747676849365234
2000-08-03,35.05507272001056,35.79236870456145,35.05507272001056,35.725341796875
2000-08-04,36.14985244171769,36.16102359512984,35.69183515181954,35.90408706665039
2000-08-07,36.03813404685143,36.568763732910156,36.03813404685143,36.568763732910156
2000-08-08,36.462653003783956,36.574364563231825,36.395626068115234,36.395626068115234
2000-08-09,36.66371294895231,36.66371294895231,36.13308334350586,36.13308334350586
2000-08-10,36.13866247941012,36.17217592220401,35.814699199069196,35.92641067504883
2000-08-11,35.568959336409065,36.55202102661133,35.568959336409065,36.55202102661133
2000-08-14,36.440285578252904,36.93181610107422,36.417943281761026,36.93181610107422
2000-08-15,36.85364346185149,36.909499241575425,36.395626068115234,36.395626068115234
2000-08-16,36.55198708582595,36.84243686095782,36.41793334345739,36.5743293762207
2000-08-17,36.70840034069218,37.06587715472205,36.61903113718471,36.909481048583984
2000-08-18,37.04353197923968,37.13290117581204,36.77542438952263,36.85362243652344
2000-08-21,37.088199754886055,37.12171318839951,36.75306541975154,36.9876594543457
2000-08-22,37.010014138795796,37.244608251960514,36.93181610107422,36.93181610107422
2000-08-23,36.887155347360114,36.99886690201596,36.730759170841935,36.87598419189453
2000-08-24,37.07705320785295,37.624439651717,37.07705320785295,37.42335891723633
2000-08-25,37.445684852554734,37.669107793202436,37.33397338223089,37.57973861694336
2000-08-28,37.75850109247496,37.98192417586239,37.57976262576502,37.64678955078125
2000-08-29,37.73615714313702,38.00426483154297,37.624445606301215,38.00426483154297
2000-08-30,37.97073689055877,38.182988729605725,37.83668309747648,38.04893493652344
2000-08-31,38.18298761900081,38.719202775733415,38.18298761900081,38.42875289916992
2000-09-01,38.60751184377703,38.80859263463004,38.42318778549512,38.7415657043457
2000-09-05,38.69126416581849,38.80856119880278,38.473426818847656,38.473426818847656
2000-09-06,38.65217182719002,38.65217182719002,38.25001050182041,38.30586624145508
2000-09-07,38.47343376422751,38.89793738880377,38.47343376422751,38.87559509277344
2000-09-08,38.68009214512786,38.763875738222,38.205318450927734,38.205318450927734
2000-09-11,38.40082194482055,38.54604687144823,38.115957665666244,38.2500114440918
2000-09-12,38.473441892099146,38.473441892099146,38.07128047859288,38.12713623046875
2000-09-13,37.959566515597245,38.38407020235201,37.959566515597245,38.31704330444336
2000-09-14,38.48462198782658,38.685702741318856,38.31146911676379,38.54047775268555
2000-09-15,38.339388672163416,38.384073274345425,37.7584888437973,37.82551574707031
2000-09-18,37.993075184438425,37.993075184438425,36.8256901927378,36.93181610107422
2000-09-19,37.16642429488046,37.691468461354575,36.91507336412157,37.535072326660156
2000-09-20,37.52824677450696,37.52824677450696,37.0350440092506,37.23680877685547
2000-09-21,37.304081492043714,37.304081492043714,36.5418586730957,36.5418586730957
2000-09-22,35.86927075446699,37.012603759765625,35.86927075446699,37.012603759765625
2000-09-25,37.432978980265744,37.432978980265744,37.03505391549574,37.057472229003906
2000-09-26,37.035043937072096,37.035043937072096,36.3400764055653,36.53063201904297
2000-09-27,36.698781590867426,36.87812811055401,36.22799697669014,36.36250686645508
2000-09-28,36.45217127530944,37.41615858455809,36.42975296579203,37.34890365600586
2000-09-29,37.31527466998313,37.444179944451385,37.1695556640625,37.1695556640625
2000-10-02,37.44978560559374,37.44978560559374,36.56426239013672,36.56426239013672
2000-10-03,37.00701067662384,37.00701067662384,36.03181457519531,36.03181457519531
2000-10-04,36.194365294288254,36.28403854370117,35.73478989104706,36.28403854370117
2000-10-05,36.317664585756454,36.45217445459259,35.89171666777536,35.91413497924805
2000-10-06,35.981398562323335,35.981398562323335,34.99499262042787,35.03982925415039
2000-10-09,35.062243345113245,35.062243345113245,34.65871369024621,34.961360931396484
2000-10-10,35.00620145584688,35.191152568245684,34.12067794799805,34.12067794799805
2000-10-11,34.23274317460384,34.29999807278577,33.71712228854235,34.00856018066406
2000-10-12,34.32243957104608,34.32243957104608,32.97734069824219,32.97734069824219
2000-10-13,33.06700983596722,34.535409255801696,33.04459152421402,34.25518035888672
2000-10-16,34.434534801136365,34.815646188909355,34.23276994878595,34.524208068847656
2000-10-17,34.524196551701706,34.61947436686062,33.408885656606145,33.655487060546875
2000-10-18,32.87083161765893,33.58261262625956,32.730717245887156,33.3808479309082
2000-10-19,33.91891778455107,34.501794098099204,33.91891778455107,34.4121208190918
2000-10-20,34.68113250830581,35.17433542697596,34.66431877244205,34.84926986694336
2000-10-23,35.03982625098745,35.24159108544611,34.91092094008331,35.196754455566406
2000-10-24,35.3088227871856,35.533005789008996,34.68111038208008,34.68111038208008
2000-10-25,34.613872574735275,34.79321906475981,33.90769577026367,33.90769577026367
2000-10-26,34.227147582918406,34.43451690673828,33.60503961145878,34.43451690673828
2000-10-27,34.165501690717505,34.61386785463768,34.165501690717505,34.456939697265625
2000-10-30,34.38969320583838,34.81564116601499,34.098255127822796,34.61387634277344
2000-10-31,34.74835988247033,35.63948717623046,34.74835988247033,35.510581970214844
2000-11-01,35.398506364310954,35.667526045357015,35.35366975080328,35.533016204833984
2000-11-02,35.79082547538602,36.45216550139535,35.779616322402816,36.384910583496094
2000-11-03,36.44097795668831,36.45218711631817,36.13833064668198,36.34009552001953
2000-11-06,36.65393007590899,36.65393007590899,36.026217511917885,36.059844970703125
2000-11-07,36.08227792944479,36.36250686645508,35.91414056723862,36.36250686645508
2000-11-08,36.38492120142935,36.407339513937934,35.712371826171875,35.712371826171875
2000-11-09,35.420930107232884,35.645113209177396,34.8156357319827,35.33125686645508
2000-11-10,35.420922338962555,35.420922338962555,34.43451690673828,34.43451690673828
2000-11-13,34.075823165758074,34.356051974687006,33.223927586614124,34.087032318115234
2000-11-14,34.74837960382265,35.0173993168845,34.703542984979,34.90530776977539
2000-11-15,34.9501424800314,35.46576356857581,34.83805093904349,35.35367202758789
2000-11-16,34.89408795788823,35.32564028245576,34.328025817871094,34.328025817871094
2000-11-17,34.7932131678775,35.07904658790999,34.456938556074554,34.54661178588867
2000-11-20,34.21032938490225,34.322420896648325,33.62745352382266,33.649871826171875
2000-11-21,33.76197182758706,33.76197182758706,33.313605667858155,33.45372009277344
2000-11-22,33.20153260802178,33.35846085127374,32.618656275943074,32.75316619873047
2000-11-24,33.15106150630946,33.78437848859399,33.06699288034248,33.67228698730469
2000-11-27,34.367271776634624,34.47375875702537,33.76197736178196,33.767581939697266
2000-11-28,33.62748069684853,33.87408222195875,32.64107459640764,32.75316619873047
2000-11-29,32.99974965951013,32.99974965951013,32.327200413732065,32.663475036621094
2000-11-30,32.282360232060284,32.48412498351066,31.542556143408905,31.968503952026367
2000-12-01,32.41687809194557,33.179100675020365,32.37204146941176,32.68589782714844
2000-12-04,32.80920323386437,32.80920323386437,32.28237284370666,32.32720947265625
2000-12-05,32.820409199548145,33.896488189697266,32.820409199548145,33.896488189697266
2000-12-06,33.78440017803505,34.09825658313955,33.11185073852539,33.11185073852539
2000-12-07,32.797984129056914,33.29118689791491,32.797984129056914,33.02216720581055
2000-12-08,33.694714527679466,34.344845413443075,33.47053146362305,33.47053146362305
2000-12-11,34.4121038325699,34.99497985839844,34.27759398045561,34.99497985839844
2000-12-12,34.9949956667837,34.9949956667837,34.23277282714844,34.23277282714844
2000-12-13,34.51301458993908,34.51301458993908,33.57840440691626,33.59529495239258
2000-12-14,33.51085091156921,33.75857897610366,33.0604362487793,33.0604362487793
2000-12-15,32.6775777215827,32.93656610462764,32.42984970301798,32.88026428222656
2000-12-18,33.037902484538584,33.488316969672034,33.01538176028191,33.37571334838867
2000-12-19,33.330677682226835,33.6910093328455,32.79018020629883,32.79018020629883
2000-12-20,32.23842621255428,32.42985242478391,31.641626845014855,31.754230499267578
2000-12-21,31.75421377204825,32.3960542631854,31.52900658217557,32.0019416809082
2000-12-22,32.519927112476246,33.39823539321487,32.47488566218196,33.33067321777344
2000-12-26,33.33066858939369,33.58965689262208,33.16176317424473,33.5220947265625
2000-12-27,33.51083046478751,34.411659240722656,33.285623270803725,34.411659240722656
2000-12-28,34.38914627142926,35.58274466853846,34.38914627142926,35.51518249511719
2000-12-29,35.65028822079651,35.75163142799398,34.456690447137504,34.501731872558594
2001-01-02,34.50174108098236,34.50174108098236,33.03789436409995,33.29688262939453
2001-01-03,32.970329065411136,35.13231785658564,32.947808348836396,34.676273345947266
2001-01-04,34.54677343870464,34.794501279529776,34.09635918265895,34.231483459472656
2001-01-05,34.18647143020164,34.18647143020164,33.015393357493814,33.173038482666016
2001-01-08,33.06042582675794,33.33067453923825,32.677573484077506,33.2856330871582
2001-01-09,33.2856264574819,33.55587511613533,33.03789852038291,33.234954833984375
2001-01-10,32.92528574512104,34.299049377441406,32.92528574512104,34.299049377441406
2001-01-11,34.05133211823127,34.90711956564714,34.05133211823127,34.76636505126953
