Date,High,Low,Close
1985-10-07,112.54000091552734,108.17500305175781,108.19999694824219
1985-10-14,113.2699966430664,106.75,113.18499755859375
1985-10-21,115.33999633789062,112.79000091552734,113.68000030517578
1985-10-28,116.1050033569336,113.20500183105469,113.81999969482422
1985-11-04,117.07499694824219,113.80500030517578,116.04000091552734
1985-11-11,120.54000091552734,115.87999725341797,120.4000015258789
1985-11-18,123.0999984741211,120.38999938964844,121.95500183105469
1985-11-25,124.33499908447266,121.73500061035156,123.13500213623047
1985-12-02,126.43499755859375,123.08999633789062,125.18499755859375
1985-12-09,129.88999938964844,124.72000122070312,127.48500061035156
1985-12-16,133.18499755859375,127.15499877929688,132.61000061035156
1985-12-23,132.72999572753906,130.36500549316406,130.72500610351562
1985-12-30,132.1300048828125,129.30499267578125,131.94500732421875
1986-01-06,132.66000366210938,129.84500122070312,130.35499572753906
1986-01-13,133.88499450683594,128.05499267578125,129.09500122070312
1986-01-20,133.60000610351562,128.9949951171875,131.60499572753906
1986-01-27,132.01499938964844,128.4600067138672,130.7949981689453
1986-02-03,134.4250030517578,130.6699981689453,134.24000549316406
1986-02-10,138.2449951171875,134.24000549316406,138.125
1986-02-17,140.6300048828125,137.85000610351562,140.16000366210938
1986-02-24,141.23500061035156,138.94000244140625,140.1999969482422
1986-03-03,141.8300018310547,138.6750030517578,139.74000549316406
1986-03-10,142.5800018310547,139.56500244140625,142.43499755859375
1986-03-17,147.4499969482422,142.43499755859375,146.36500549316406
1986-03-24,148.78500366210938,146.11500549316406,147.08999633789062
1986-03-31,149.2050018310547,146.625,148.86000061035156
1986-04-07,149.93499755859375,144.8300018310547,146.05499267578125
1986-04-14,153.97500610351562,146.05499267578125,153.9250030517578
1986-04-21,159.86000061035156,153.43499755859375,158.52499389648438
1986-04-28,160.9499969482422,156.6300048828125,159.89999389648438
1986-05-05,160.30499267578125,153.72500610351562,157.13999938964844
1986-05-12,158.2550048828125,155.30999755859375,157.75
1986-05-19,157.9199981689453,154.38999938964844,155.30999755859375
1986-05-26,160.38999938964844,155.0,160.1649932861328
1986-06-02,163.97999572753906,159.94000244140625,162.02999877929688
1986-06-09,163.08999633789062,158.2100067138672,158.61000061035156
1986-06-16,162.9250030517578,157.1750030517578,160.8000030517578
1986-06-23,161.2050018310547,156.86500549316406,159.55499267578125
1986-06-30,163.07000732421875,159.42999267578125,162.61500549316406
1986-07-07,164.55999755859375,157.58999633789062,157.625
1986-07-14,157.625,149.00999450683594,149.28500366210938
1986-07-21,149.28500366210938,145.32000732421875,147.0749969482422
1986-07-28,148.73500061035156,145.21499633789062,145.5050048828125
1986-08-04,145.76499938964844,141.64500427246094,142.52499389648438
1986-08-11,145.51499938964844,140.17999267578125,145.44000244140625
1986-08-18,150.3000030517578,145.44000244140625,149.07000732421875
1986-08-25,151.2550048828125,147.97999572753906,149.91000366210938
1986-09-01,152.55499267578125,149.875,151.6999969482422
1986-09-08,152.07000732421875,146.35000610351562,146.5500030517578
1986-09-15,147.31500244140625,134.0850067138672,134.94000244140625
1986-09-22,140.2949981689453,133.27999877929688,140.1199951171875
1986-09-29,141.05999755859375,134.81500244140625,135.53500366210938
1986-10-06,139.3699951171875,135.53500366210938,139.11500549316406
1986-10-13,140.71499633789062,137.5449981689453,140.6750030517578
1986-10-20,142.47999572753906,139.49000549316406,140.10000610351562
1986-10-27,142.75,139.3800048828125,141.75999450683594
