date,smh_xlp_ratio,smh_xlp_yoy
2008-01-02,0.7618146240170486,
2008-01-03,0.7524293871590038,
2008-01-04,0.717379831594836,
2008-01-07,0.7129371590040252,
2008-01-08,0.7050515103801885,
2008-01-09,0.6968950096939609,
2008-01-10,0.6932739346326123,
2008-01-11,0.6879576496751088,
2008-01-14,0.7144105451834393,
2008-01-15,0.7040286891669838,
2008-01-16,0.6936418976114732,
2008-01-17,0.6891652177609433,
2008-01-18,0.7089711826805551,
2008-01-22,0.7035257219589105,
2008-01-23,0.7198384850857834,
2008-01-24,0.7360340558391698,
2008-01-25,0.7237614052090092,
2008-01-28,0.7345157690070612,
2008-01-29,0.7295272969374168,
2008-01-30,0.7413906135624931,
2008-01-31,0.713753370826511,
2008-02-01,0.7592098390767159,
2008-02-04,0.745242919746631,
2008-02-05,0.7278240662605797,
2008-02-06,0.7174373931755246,
2008-02-07,0.712824298984646,
2008-02-08,0.7244062842908451,
2008-02-11,0.7293076672989339,
2008-02-12,0.7197601723618915,
2008-02-13,0.7463608952749453,
2008-02-14,0.7329757068391175,
2008-02-15,0.7206815452061461,
2008-02-19,0.702074157415357,
2008-02-20,0.7315021855200399,
2008-02-21,0.7278119150148298,
2008-02-22,0.7194011417877292,
2008-02-25,0.7233504461240767,
2008-02-26,0.7276247116226255,
2008-02-27,0.7463881068006393,
2008-02-28,0.734562266250709,
2008-02-29,0.7257631856085945,
2008-03-03,0.714835938321538,
2008-03-04,0.7211515417188215,
2008-03-05,0.7273524311551559,
2008-03-06,0.7211063999430484,
2008-03-07,0.7294100142891232,
2008-03-10,0.734738577351926,
2008-03-11,0.734055071715309,
2008-03-12,0.7319053552594454,
2008-03-13,0.7369340362026173,
2008-03-14,0.7336652796530049,
2008-03-17,0.7390559562220915,
2008-03-18,0.7510532357428883,
2008-03-19,0.7213225112944958,
2008-03-20,0.7225077354681871,
2008-03-24,0.7319272778067533,
2008-03-25,0.7315675201999402,
2008-03-26,0.7265101481087326,
2008-03-27,0.710330802171914,
2008-03-28,0.7019912286722957,
2008-03-31,0.7071733295813235,
2008-04-01,0.7232164381370059,
2008-04-02,0.7287963029316815,
2008-04-03,0.7457450081079287,
2008-04-04,0.7360511319816032,
2008-04-07,0.7371003790622105,
2008-04-08,0.7171570726684344,
2008-04-09,0.7327140607177071,
2008-04-10,0.747803564560124,
2008-04-11,0.7294432639363106,
2008-04-14,0.7136548358383268,
2008-04-15,0.7083322537306933,
