Date,Value
2020-09-01,17.57
2020-10-01,17.43
2020-11-01,19.02
2020-12-01,19.57
2021-01-01,20.21
2021-02-01,21.03
2021-03-01,18.11
2021-04-01,16.89
2021-05-01,17.16
2021-06-01,14.4
2021-07-01,12.6
2021-08-01,10.94
2021-09-01,10.46
2021-10-01,9.53
2021-11-01,8.01
2021-12-01,7.09
2022-01-01,6.5
2022-02-01,7.03
2022-03-01,7.12
2022-04-01,3.34
2022-05-01,0.96
2022-06-01,1.27
2022-07-01,0.53
2022-08-01,-0.54
2022-09-01,-3.33
2022-10-01,-5.07
2022-11-01,-2.82
2022-12-01,-1.11
2023-01-01,0.74
2023-02-01,-1.39
2023-03-01,-0.43
2023-04-01,2.14
2023-05-01,1.2
2023-06-01,0.41
2023-07-01,2.28
2023-08-01,1.75
2023-09-01,3.28
2023-10-01,4.6
2023-11-01,3.81
2023-12-01,2.4
2024-01-01,-0.3
2024-02-01,0.96
2024-03-01,0.76
2024-04-01,-0.25
2024-05-01,1.5
2024-06-01,2.22
2024-07-01,1.68
2024-08-01,5.2
2024-09-01,7.48
2024-10-01,6.78
2024-11-01,3.61
2024-12-01,2.13
2025-01-01,2.67
2025-02-01,3.41
2025-03-01,4.58
2025-04-01,6.79
2025-05-01,7.3
2025-06-01,8.56
2025-07-01,8.23
2025-08-01,6.61
2025-09-01,5.67
2025-10-01,6.93
2025-11-01,8.38
2025-12-01,10.27
2026-01-01,11.08
2026-02-01,12.05
